Posicion,Abreviatura,Equipo,Número de partidos jugados,El número de partidos ganados,Empate,Derrotas,Goles a favor,Goles en contra,Diferencia de puntos,Puntos
1,CHE,Chelsea,2,1,1,0,5,1,4,4
2,MCI,Manchester City,1,1,0,0,4,0,4,3
3,SUN,Sunderland,1,1,0,0,3,0,3,3
4,TOT,Tottenham Hotspur,1,1,0,0,3,0,3,3
5,LIV,Liverpool,1,1,0,0,4,2,2,3
6,FOR,Nottingham Forest,1,1,0,0,3,1,2,3
7,ARS,Arsenal,1,1,0,0,1,0,1,3
8,LEE,Leeds United,1,1,0,0,1,0,1,3
9,BHA,Brighton & Hove Albion,1,0,1,0,1,1,0,1
10,FUL,Fulham,1,0,1,0,1,1,0,1
11,AVL,Aston Villa,1,0,1,0,0,0,0,1
12,CRY,Crystal Palace,1,0,1,0,0,0,0,1
13,NEW,Newcastle United,1,0,1,0,0,0,0,1
14,EVE,Everton,1,0,0,1,0,1,1,0
15,MUN,Manchester United,1,0,0,1,0,1,1,0
16,BOU,AFC Bournemouth,1,0,0,1,2,4,2,0
17,BRN,Brentford,1,0,0,1,1,3,2,0
18,BRN,Burnley,1,0,0,1,0,3,3,0
19,WOL,Wolverhampton Wanderers,1,0,0,1,0,4,4,0
20,WHU,West Ham United,2,0,0,2,1,8,7,0
